;amr;amp;azt;cha;nin;rod;roj;rom;rxa;sal;sep;ven;ver;chu;cri;nio;niy;pic;pin;pir;rbt;sbs;stg;vci;nfa;ame;ams;amt;anr;cht;nnv;rby;rds;rme;rss;rxy;sfd;vco;vlz
amr;;1141;0;163;912;0;0;522;0;0;814;196;362;0;0;246;0;0;74;0;1288;0;0;0;366;1325;132;166;0;1281;459;622;828;0;377;0;133;966;902
amp;;;151;188;0;121;211;78;65;87;139;180;0;0;195;48;0;70;0;0;0;57;88;80;0;70;117;0;0;65;50;0;0;224;0;0;0;0;0
azt;;;;40;0;350;148;238;117;87;232;78;0;0;345;0;0;312;0;251;0;0;0;214;0;0;289;0;0;89;216;334;0;333;0;0;0;0;0
cha;;;;;0;0;73;156;0;152;101;43;0;0;0;0;0;121;59;45;0;0;159;135;0;63;141;0;0;99;107;69;0;63;153;0;0;80;0
nin;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188;0;0;0;0;219;0;0;0;0;0;0;0;0
rod;;;;;;;79;0;110;101;0;55;0;0;0;0;0;87;0;0;66;0;0;0;0;0;94;0;0;82;0;54;0;96;0;0;0;0;0
roj;;;;;;;;76;174;204;153;83;0;0;89;47;0;0;41;34;150;0;31;135;0;0;0;166;0;90;182;151;192;204;80;90;0;0;0
rom;;;;;;;;;234;240;573;0;0;0;460;0;0;119;549;0;0;0;388;0;0;0;0;67;0;454;428;0;0;90;554;0;0;0;0
rxa;;;;;;;;;;260;44;170;0;0;0;0;0;204;261;74;0;0;0;0;0;0;0;0;0;70;300;208;0;140;0;73;0;0;0
sal;;;;;;;;;;;211;42;0;0;0;59;0;250;0;84;0;0;52;0;0;0;0;0;83;73;119;0;0;266;0;0;0;0;0
sep;;;;;;;;;;;;230;0;224;0;0;0;198;151;52;0;0;166;104;0;0;212;113;0;171;169;0;0;91;0;0;0;0;0
ven;;;;;;;;;;;;;0;0;0;0;0;196;82;80;93;0;142;0;0;0;98;0;0;0;190;46;0;179;98;0;0;0;0
ver;;;;;;;;;;;;;;176;0;0;334;0;0;366;0;0;0;0;0;0;0;0;0;156;0;0;0;0;302;0;0;0;0
chu;;;;;;;;;;;;;;;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cri;;;;;;;;;;;;;;;;32;48;0;0;0;0;0;46;0;0;0;0;0;0;0;78;0;0;250;0;0;0;0;0
nio;;;;;;;;;;;;;;;;;0;0;0;110;70;42;0;0;0;0;0;0;0;0;0;0;0;56;140;0;0;0;0
niy;;;;;;;;;;;;;;;;;;138;0;74;0;60;168;0;0;230;0;0;0;77;0;0;0;0;0;0;0;0;0
pic;;;;;;;;;;;;;;;;;;;0;0;0;0;0;55;0;0;0;0;0;91;57;0;0;0;48;0;0;0;0
pin;;;;;;;;;;;;;;;;;;;;112;0;0;0;0;0;0;0;0;0;100;130;0;0;245;239;0;0;0;0
pir;;;;;;;;;;;;;;;;;;;;;181;110;0;176;0;0;0;0;0;43;255;138;0;56;170;0;0;0;0
rbt;;;;;;;;;;;;;;;;;;;;;;138;0;142;0;0;0;0;0;0;0;0;0;156;0;229;0;0;0
sbs;;;;;;;;;;;;;;;;;;;;;;;0;0;0;33;0;0;0;80;260;65;0;0;0;0;0;490;0
stg;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;170;0;0;0;0;102;0;0;0;0;0
vci;;;;;;;;;;;;;;;;;;;;;;;;;0;53;76;0;0;5;11;0;0;90;0;0;0;0;0
nfa;;;;;;;;;;;;;;;;;;;;;;;;;;0;43;0;0;77;168;54;0;0;180;0;0;0;0
ame;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;72;65;37;0;0;100;0;0;156;0
ams;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0
amt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;370;0;0;0;0;0
anr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;6;0;0;0;0;0;0;0;0
cht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;131;620;390;690;440;850;380;129;0
nnv;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1295;1718;1429;514;1497;0;0;0
rby;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;107;656;188;554;0;0;0
rds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;565;1226;0;0;0;571
rme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;360;523;0;0;0
rss;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;455;0;0
rxy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0
sfd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;185
vco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
vlz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;